title,categoryName,city,totalScore,reviewsCount
Wisata Batu Belimbing,Tujuan Wisata,Kota Singkawang,4.5,948.0
Rindu Alam,Tujuan Wisata,Kota Singkawang,4.5,1128.0
Cagar Budaya Rumah Keluarga Tjhia,Tujuan Wisata,Kota Singkawang,4.6,1350.0
Taman Burung,Tujuan Wisata,Kota Singkawang,4.3,2975.0
Pasar Hongkong,Tujuan Wisata,Kota Singkawang,4.4,4677.0
Vihara Tri Dharma Bumi Raya,Tujuan Wisata,Kota Singkawang,4.7,533.0
Spot Cafe Singkawang,Kafe,Kota Singkawang,4.1,159.0
Aming Coffee Singkawang,Kedai Kopi,Kota Singkawang,4.6,639.0
KiBae House Singkawang,Kedai Kopi,Kota Singkawang,4.1,176.0
Han’s warung kopi,Kafe,Kota Singkawang,4.4,929.0
Tugu Naga Emas HK,Tujuan Wisata,Kota Singkawang,4.5,842.0
Taman Gunung Sari Singkawang,Tujuan Wisata,Kota Singkawang,4.3,692.0
Bundaran 1001 AI,Tujuan Wisata,Kota Singkawang,4.5,989.0
Spirit Way,Kedai Kopi,Kota Singkawang,4.6,127.0
AMING COFFEE,Kedai Kopi,Kota Singkawang,4.5,139.0
Cattu Coffee Singkawang,Kedai Kopi,Kota Singkawang,4.6,116.0
UP Coffee,Kedai Kopi,Kota Singkawang,4.9,522.0
Nordu,Kedai Kopi,Kota Singkawang,4.0,119.0
Dangau Resort Singkawang,Hotel Resor,Kota Singkawang,4.2,1673.0
Lotus Kopitiam,Kafe,Kota Singkawang,4.2,273.0
Taman Bougenvile,Tujuan Wisata,Kota Singkawang,4.0,612.0
Waterboom Gunung Poteng,Tujuan Wisata,Kota Singkawang,4.3,593.0
Air Terjun Sibohe,Tujuan Wisata,Kota Singkawang,4.0,178.0
Alami Kopisan,Taman,Kota Singkawang,4.5,159.0
Dayang Resort Singkawang,Tujuan Wisata,Kota Singkawang,4.4,2886.0
CAWAN COFFEE,Kedai Kopi,Kota Singkawang,4.4,293.0
KOPIKOE SINGKAWANG,Kedai Kopi,Kota Singkawang,4.2,314.0
San Kheu Jong Kopitiam (SKJ) 山口洋咖啡店,Kafe,Kota Singkawang,4.4,747.0
CW Coffee,Kedai Kopi,Kota Singkawang,4.4,445.0
Bebek Boedjang Singkawang,Restoran Indonesia,Kota Singkawang,4.9,1944.0
Point Coffee Tanjung Batu,Kedai Kopi,Kota Singkawang,5.0,133.0
Weng Coffee Singkawang,Kafe,Kota Singkawang,2.9,147.0
Warkop Nikmat,Kedai Kopi,Kota Singkawang,4.5,792.0
"Pisang Goreng Sudarso "" AQU """,Restoran,Kota Singkawang,4.6,142.0
"Choi Pan Tho Ce ""Cabang Kawasan Tradisional Marga Tjhia""",Restoran,Kota Singkawang,4.7,181.0
captn burgerbar,Kedai Kopi,Kota Singkawang,4.6,137.0
Omni Cafe Indonesia,Kafe,Kota Singkawang,4.1,189.0
de SATE - Tempat makan enak di singkawang,Restoran Sate,Kota Singkawang,4.4,416.0
Wisata Pantai Gratis,Tujuan Wisata,Kota Singkawang,4.4,627.0
PALAPA BEACH HOTEL PASIR PANJANG,Tujuan Wisata,Kota Singkawang,3.8,742.0
KIBAE SUNSET,Restoran Indonesia,Kota Singkawang,2.8,115.0
Luk Theu San Singkawang,Restoran,Kota Singkawang,4.6,371.0
CW COFFEE Singkawang 3,Kafe,Kota Singkawang,4.6,319.0
Kopi Rakyat,Kedai Kopi,Kota Singkawang,4.5,579.0
Warkop No Go',Kedai Kopi,Kota Singkawang,4.5,196.0
Bubur Daging Babi A Ju,Restoran Bubur,Kota Singkawang,4.3,154.0
Agus choipan,Restoran China,Kota Singkawang,4.5,120.0
IKAN BAKAR BANG IAN KUALE,Restoran Ikan Bakar,Kota Singkawang,4.3,839.0
Point Coffee,Kedai Kopi,Kota Singkawang,5.0,110.0
Warung Laut by Condong Square,Restoran Seafood,Kota Singkawang,4.5,1104.0
Rumah Makan Bulai,Restoran China,Kota Singkawang,4.4,381.0
Restoran Ulekan Singkawang,Restoran,Kota Singkawang,4.1,583.0
McDonald's Singkawang,Restoran,Kota Singkawang,4.2,445.0
Swiss-Belinn Singkawang,Hotel,Kota Singkawang,4.6,7019.0
PONDOK IKAN BAKAR,Restoran Ikan Bakar,Kota Singkawang,4.3,634.0
Kopi Fung Singkawang,Kedai Kopi,Kota Singkawang,4.3,107.0
Lokale,Kedai Kopi,Kota Singkawang,4.5,307.0
CW Coffee,Kedai Kopi,Kota Singkawang,4.4,325.0
Chai Kue Sak Kok,Restoran,Kota Singkawang,4.4,536.0
Pondok Lobster Singkawang,Restoran Seafood,Kota Singkawang,4.3,140.0
Pojok Pramuka,Restoran Seafood,Kota Singkawang,4.6,300.0
Wahana Inn Hotel,Hotel,Kota Singkawang,4.1,751.0
Pondok Firdaus,Restoran,Kabupaten Kotawaringin Timur,4.1,500.0
Rumah Makan Lie Phin,Restoran Seafood,Kota Singkawang,4.2,198.0
Restoran Ala Thai,Restoran China,Kota Singkawang,4.3,610.0
Bubur Pekong,Restoran Bubur,Kota Singkawang,4.4,576.0
Murraya Hills Singkawang,Hotel,Kota Singkawang,4.1,396.0
Bakso Bintang Singkawang,Restoran Bakso,Kota Singkawang,4.1,276.0
Mahakam Lampion Garden,Tujuan Wisata,Kota Samarinda,4.4,5305.0
Rumah Ulin Arya,Tujuan Wisata,Kota Samarinda,4.6,3731.0
Wisata sawah Sudut Pandang,Tujuan Wisata,Kota Samarinda,4.5,285.0
Teras Alam Ulin,Tujuan Wisata,Kota Samarinda,4.5,119.0
Air Terjun Pinang Seribu,Tujuan Wisata,Kota Samarinda,4.0,450.0
Bumi Sempaja Waterpark Samarinda,Tujuan Wisata,Kota Samarinda,4.1,228.0
Naureen Mini Garden,Taman,Kota Samarinda,4.6,995.0
Air Terjun Berambai,Tujuan Wisata,Kota Samarinda,4.3,324.0
Bendungan Benanga Lempake,Tujuan Wisata,Kota Samarinda,4.2,528.0
Puncak Samarinda,Tujuan Wisata,Kota Samarinda,4.3,320.0
Dermaga Kapal Wisata Samarinda,Tujuan Wisata,Kota Samarinda,4.5,108.0
Kolam Wisata Tjiu Palace,Tujuan Wisata,Kota Samarinda,4.2,522.0
Wisata Aladin,Tujuan Wisata,Kota Samarinda,3.9,193.0
Taman Tepian Mahakam,Tujuan Wisata,Kota Samarinda,4.4,1392.0
Wisata Budaya Pampang,Tujuan Wisata,Kota Samarinda,4.6,1953.0
Mahkota Pemancingan & Resto,Restoran,Kota Samarinda,4.5,1798.0
Samarinda Theme Park,Tujuan Wisata,Kota Samarinda,4.7,1141.0
STI Vihāra Muladharma Samarinda,Tujuan Wisata,Kota Samarinda,4.8,143.0
Wisata tebing lonceng,Tujuan Wisata,Kota Samarinda,4.4,338.0
Taman Budaya Samarinda,Tujuan Wisata,Kota Samarinda,4.5,786.0
Puncak Steling,Tujuan Wisata,Kota Samarinda,4.5,192.0
Taman Samarendah,Tujuan Wisata,Kota Samarinda,4.4,8561.0
